                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6251,                 2.2776,                 1.9247,                0.51598,                0.56721,                0.51792,                0.22189,                 1.8248,                 1.7039,                 2.2584,              0.0033152,              0.0033152,              0.0033152
                      1,                 1.5085,                 1.6748,                 1.7794,                  0.522,                0.54528,                0.50175,                 0.2125,                 1.8573,                 1.6623,                 2.4056,              0.0066354,              0.0066354,              0.0066354
                      2,                 1.6079,                 1.7727,                 1.8718,                0.43397,                0.46604,                0.41084,                0.14384,                 2.1541,                 2.2843,                 2.7522,              0.0099424,              0.0099424,              0.0099424
                      3,                 1.6117,                 1.8361,                   1.89,                0.48878,                0.41132,                0.41526,                0.15415,                 2.0393,                 2.2571,                 2.5316,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6149,                 1.7669,                  1.867,                0.44213,                0.50992,                0.44112,                 0.1786,                 1.9581,                 1.8922,                 2.4625,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5974,                  1.742,                 1.8706,                0.45339,                0.46604,                0.41849,                0.15511,                 2.0252,                 1.8771,                 2.4695,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5807,                 1.7272,                  1.848,                0.51124,                0.57547,                 0.4987,                0.20634,                 1.8357,                 2.0823,                 2.3747,               0.009901,               0.009901,               0.009901
                      7,                 1.5686,                 1.6814,                 1.8489,                 0.5218,                0.59088,                0.50123,                0.21615,                 1.8324,                  1.849,                 2.3554,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.5425,                 1.6602,                 1.8218,                0.54892,                0.62264,                0.60162,                0.28449,                 1.7689,                 1.6164,                 2.2518,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.5336,                 1.6515,                 1.8216,                0.59328,                0.60943,                0.60712,                0.27842,                 1.7946,                  1.695,                 2.2212,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.5202,                  1.621,                 1.7956,                0.56505,                    0.6,                0.59784,                0.27122,                 1.7455,                 1.6467,                 2.1829,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.5187,                 1.6292,                 1.7893,                0.61465,                0.60189,                0.60314,                0.29008,                 1.8378,                 1.5236,                 2.2507,               0.009802,               0.009802,               0.009802
                     12,                 1.5153,                 1.6292,                 1.8017,                0.63235,                0.62642,                0.62911,                0.31149,                 1.6997,                 1.4915,                 2.1759,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.4861,                   1.57,                 1.7772,                0.55346,                0.56827,                0.57055,                0.26843,                 1.8145,                 1.6367,                 2.2157,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.4851,                 1.5255,                 1.7542,                0.64147,                0.64477,                0.65585,                0.32876,                 1.8082,                  1.399,                 2.1962,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.4909,                 1.5539,                 1.7711,                0.59251,                0.63774,                0.61671,                0.29243,                 1.7669,                 1.5025,                 2.2059,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.4728,                 1.5544,                 1.7622,                0.60597,                0.62264,                0.62452,                0.30398,                 1.7198,                 1.4726,                 2.1863,               0.009703,               0.009703,               0.009703
                     17,                 1.4525,                 1.5071,                 1.7481,                 0.6382,                0.61887,                  0.657,                0.33529,                 1.6497,                 1.4436,                 2.1014,              0.0096832,              0.0096832,              0.0096832
                     18,                  1.468,                 1.5176,                 1.7469,                0.63337,                0.63019,                0.65357,                0.32174,                 1.7505,                 1.4915,                 2.1645,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.4465,                 1.5052,                 1.7377,                0.65709,                 0.6434,                0.66814,                0.33128,                 1.6902,                 1.4672,                 2.1223,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.4502,                 1.5044,                 1.7369,                0.72127,                0.65912,                0.70942,                0.35849,                  1.682,                 1.3761,                 2.1222,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.4267,                 1.4613,                  1.709,                0.63056,                 0.6434,                0.66328,                0.30571,                  1.745,                 1.4538,                 2.1411,               0.009604,               0.009604,               0.009604
                     22,                 1.4206,                 1.4637,                 1.7239,                0.59933,                0.67547,                0.64051,                0.30349,                  1.695,                 1.4324,                 2.1113,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.4165,                 1.4533,                 1.7079,                0.66507,                 0.6444,                 0.6767,                0.34962,                 1.7185,                 1.3998,                  2.108,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.4252,                 1.4792,                 1.7239,                0.69841,                0.65094,                0.69146,                0.37677,                 1.6322,                 1.3649,                 2.0596,              0.0095446,              0.0095446,              0.0095446
