                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6117,                 2.0607,                  1.584,                0.56945,                0.47666,                0.49143,                0.24369,                 1.7126,                 1.7836,                 1.6043,               0.003329,               0.003329,               0.003329
                      1,                 1.5305,                 1.5548,                 1.4859,                 0.4975,                0.41022,                0.40255,                 0.1837,                 1.9242,                  2.048,                 1.7574,              0.0066492,              0.0066492,              0.0066492
                      2,                 1.6137,                 1.6468,                 1.5456,                0.48501,                0.41183,                0.39424,                0.17831,                 1.9719,                 2.1599,                 1.8648,              0.0099561,              0.0099561,              0.0099561
                      3,                 1.6636,                  1.714,                 1.5808,                0.50392,                0.44648,                0.44299,                0.20983,                 1.9026,                 1.9355,                 1.8069,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6083,                 1.6318,                 1.5604,                0.53153,                0.48057,                0.49211,                0.24618,                  1.758,                 1.8023,                  1.679,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5724,                 1.5684,                 1.5332,                0.59035,                0.50365,                0.53015,                0.26753,                 1.7203,                 1.6814,                 1.6812,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5437,                 1.5164,                 1.5157,                0.60002,                0.53734,                0.55692,                0.28215,                 1.7148,                 1.6474,                 1.6452,               0.009901,               0.009901,               0.009901
                      7,                  1.517,                 1.4687,                 1.4934,                0.62681,                0.55148,                0.58971,                0.30877,                 1.6686,                  1.512,                 1.6402,              0.0098812,              0.0098812,              0.0098812
                      8,                  1.515,                 1.4477,                 1.4909,                 0.6102,                0.53641,                0.57103,                0.29273,                 1.6795,                  1.582,                 1.6269,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.4915,                 1.4225,                 1.4719,                0.64299,                0.57273,                0.61604,                0.32374,                 1.6244,                 1.5146,                 1.5803,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.4854,                 1.3993,                 1.4642,                0.64145,                0.58573,                  0.621,                0.32932,                 1.6115,                 1.4873,                 1.5647,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.4646,                 1.3603,                 1.4513,                0.64482,                0.57022,                0.61974,                0.33247,                 1.6005,                 1.4759,                 1.5651,               0.009802,               0.009802,               0.009802
                     12,                 1.4557,                 1.3479,                 1.4498,                0.65472,                0.59198,                0.63606,                0.34147,                 1.5869,                  1.447,                  1.548,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.4452,                 1.3297,                 1.4426,                0.66485,                0.58405,                 0.6398,                0.34743,                  1.577,                 1.4373,                  1.541,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.4334,                 1.3106,                 1.4292,                 0.6679,                0.60463,                0.64934,                0.34477,                 1.5782,                 1.3872,                 1.5708,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.4308,                 1.3015,                 1.4263,                0.70355,                0.60614,                0.67105,                0.36458,                 1.5742,                 1.3567,                 1.5267,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.4195,                 1.2792,                 1.4217,                0.68917,                0.62391,                 0.6731,                0.36814,                 1.5549,                 1.3372,                  1.511,               0.009703,               0.009703,               0.009703
                     17,                 1.4173,                 1.2786,                 1.4209,                0.67882,                0.62202,                0.66529,                0.36548,                  1.547,                 1.3347,                 1.5048,              0.0096832,              0.0096832,              0.0096832
                     18,                  1.405,                 1.2678,                 1.4099,                0.68727,                0.61295,                0.66291,                0.36523,                 1.5309,                 1.3242,                 1.5089,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.3955,                 1.2435,                 1.3972,                0.68243,                0.63009,                0.67134,                0.37045,                 1.5349,                 1.3101,                  1.506,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.3955,                 1.2295,                 1.4012,                 0.6924,                0.62469,                0.68269,                0.38002,                 1.5317,                 1.2838,                 1.5082,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.3808,                 1.2293,                   1.39,                0.69894,                0.62328,                0.68209,                0.37831,                 1.5164,                 1.2895,                 1.4857,               0.009604,               0.009604,               0.009604
                     22,                 1.3868,                 1.2219,                 1.3881,                0.70095,                0.63147,                0.68338,                0.38192,                 1.5096,                 1.2834,                 1.4806,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.3787,                 1.1987,                  1.387,                0.70096,                0.64071,                0.69716,                0.38914,                 1.5147,                 1.2523,                  1.481,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.3728,                 1.2034,                 1.3811,                0.68988,                0.64241,                0.69052,                0.38506,                 1.5075,                 1.2739,                 1.4774,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.3643,                 1.1812,                 1.3803,                0.69871,                0.65283,                0.70433,                 0.3962,                 1.5056,                 1.2277,                  1.474,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.3649,                 1.1808,                 1.3768,                0.71731,                0.63852,                0.70409,                0.39635,                 1.4947,                  1.244,                 1.4678,               0.009505,               0.009505,               0.009505
                     27,                 1.3562,                 1.1748,                 1.3684,                0.73804,                0.64087,                 0.7078,                0.39987,                 1.4919,                 1.2113,                 1.4501,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.3528,                 1.1608,                 1.3662,                0.72503,                0.63872,                0.70681,                0.39988,                  1.492,                 1.2187,                 1.4626,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.3492,                 1.1598,                 1.3622,                0.72733,                 0.6497,                0.71147,                 0.3999,                 1.4814,                 1.2271,                 1.4481,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.3385,                 1.1412,                 1.3549,                0.72382,                0.64712,                0.71213,                0.40452,                 1.4776,                 1.2115,                 1.4445,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.3362,                  1.141,                 1.3549,                0.72825,                0.65768,                0.72134,                0.41112,                 1.4748,                 1.1934,                 1.4479,               0.009406,               0.009406,               0.009406
                     32,                 1.3431,                 1.1381,                 1.3567,                0.73042,                0.65111,                0.72123,                0.41347,                 1.4806,                 1.1961,                 1.4535,              0.0093862,              0.0093862,              0.0093862
